DATE,vwretd,ewretd
19260102,0.005689,0.009516
19260104,0.000706,0.005780
19260105,-0.004821,-0.001927
19260106,-0.000423,0.001182
19260107,0.004988,0.008453
19260108,-0.003238,-0.001689
19260109,0.002209,0.003312
19260111,-0.008540,-0.009943
19260112,-0.000929,-0.003623
19260113,0.003700,0.007576
19260114,-0.005034,-0.002847
19260115,-0.012688,-0.013091
19260116,-0.001224,-0.001544
19260118,0.005244,0.006018
19260119,-0.010983,-0.011350
19260120,0.004059,-0.001376
19260121,-0.007062,-0.003772
19260122,0.005029,0.002281
19260123,0.005657,0.006987
19260125,0.004723,0.006726
19260126,-0.005384,-0.005749
19260127,0.007170,0.005280
19260128,0.003801,0.007786
19260129,0.008204,0.008687
19260130,0.000687,0.004533
19260201,-0.002864,-0.002473
19260202,0.005334,0.004416
19260203,0.005243,0.005728
19260204,0.005120,0.004818
19260205,-0.000215,0.002155
19260206,0.000577,0.001864
19260208,-0.006726,-0.007355
19260209,0.005670,0.008391
19260210,0.000740,-0.001415
19260211,0.000895,0.000118
19260213,-0.001137,-0.002787
19260215,-0.019659,-0.023189
19260216,0.003382,0.001602
19260217,0.005186,0.003319
19260218,0.002033,0.003514
19260219,0.000291,-0.003348
19260220,-0.001115,-0.000378
19260223,-0.009218,-0.009866
19260224,-0.004304,-0.007171
19260225,-0.010465,-0.011729
19260226,-0.013364,-0.017176
19260227,0.000758,0.000943
19260301,-0.013277,-0.014712
19260302,-0.025525,-0.027970
19260303,-0.018591,-0.026268
19260304,0.041403,0.043254
19260305,0.006305,0.017716
19260306,-0.003078,-0.001583
19260308,-0.006076,-0.011374
19260309,0.007683,0.012820
19260310,0.008828,0.010522
19260311,0.006263,0.005776
19260312,0.003438,0.003573
19260313,-0.015514,-0.015540
19260315,0.001900,-0.002119
19260316,-0.002060,0.000117
19260317,-0.007107,-0.012213
19260318,-0.012812,-0.018166
19260319,-0.006102,-0.006147
19260320,0.001197,0.003667
19260322,0.008321,0.008233
19260323,-0.005796,-0.002953
19260324,-0.019537,-0.023081
19260325,-0.001508,-0.005019
19260326,0.003295,0.002581
19260327,-0.008466,-0.009246
19260329,-0.023936,-0.029118
19260330,-0.016563,-0.021821
19260331,0.032359,0.030224
19260401,0.008847,0.017843
19260403,0.001300,0.002850
19260405,0.004735,0.007861
19260406,0.009142,0.011633
19260407,-0.003584,-0.001765
19260408,-0.005541,-0.005304
19260409,0.000016,-0.002395
19260410,-0.002896,-0.000995
19260412,-0.018504,-0.022706
19260413,0.009197,0.005861
19260414,-0.011012,-0.007991
19260415,0.001851,-0.000283
19260416,0.000816,0.000758
19260417,0.001774,0.002376
19260419,0.000827,-0.001779
19260420,0.003458,0.001253
19260421,0.013977,0.014546
19260422,0.009837,0.012581
19260423,0.011450,0.011699
19260424,0.005819,0.004457
19260426,-0.007177,-0.007319
19260427,-0.001832,-0.003240
19260428,0.005124,0.000919
19260429,0.001573,0.002727
19260430,-0.002373,-0.005878
19260501,-0.001970,-0.002945
19260503,-0.016797,-0.016987
19260504,0.004495,0.003065
19260505,0.002307,0.004807
19260506,0.001304,0.001041
19260507,-0.008851,-0.007918
19260508,-0.000467,0.000138
19260510,-0.004865,-0.007767
19260511,0.000837,0.002477
19260512,0.002661,0.002486
19260513,-0.001592,-0.002160
19260514,-0.001284,-0.001121
19260515,-0.003729,-0.003649
19260517,-0.000167,-0.003150
19260518,-0.001779,-0.004233
19260519,-0.001684,-0.004273
19260520,0.009063,0.005745
19260521,0.007683,0.010292
19260522,0.002828,0.003251
19260524,0.004909,0.006073
19260525,0.003343,0.008203
19260526,0.005789,0.003956
19260527,0.003407,0.004422
19260528,0.006709,0.008897
19260601,-0.004687,-0.003731
19260602,0.005296,0.004028
19260603,0.005005,0.008005
19260604,0.001839,0.003871
19260605,-0.000172,-0.001399
19260607,0.002893,0.006471
19260608,0.001063,0.001436
19260609,0.000047,-0.001319
19260610,0.001281,0.000004
19260611,0.007090,0.005411
19260612,0.006195,0.005779
19260614,0.004375,0.004618
19260615,0.000866,0.002349
19260616,0.007197,0.007679
19260617,0.006266,0.006276
19260618,-0.007653,-0.003548
19260619,0.008609,0.004816
19260621,0.003670,0.006166
19260622,0.001487,0.001036
19260623,-0.008300,-0.008745
19260624,0.002979,0.002011
19260625,-0.003642,-0.005621
19260626,0.000542,0.001858
19260628,0.002513,0.002263
19260629,0.005431,0.005552
19260630,0.002430,0.002451
19260701,0.001200,0.001645
19260702,0.004580,0.002131
19260706,0.001763,0.001349
19260707,0.000933,-0.001107
19260708,0.002298,0.004022
19260709,-0.006943,-0.004331
19260710,0.006049,0.004114
19260712,0.000574,0.000190
19260713,0.004861,0.004357
19260714,0.000547,0.000111
19260715,-0.004272,-0.001568
19260716,0.005227,0.004378
19260717,0.003620,0.003605
19260719,0.000018,-0.000030
19260720,-0.005616,-0.006257
19260721,-0.006022,-0.004746
19260722,-0.007135,-0.008241
19260723,-0.000031,0.000913
19260724,-0.001188,0.002290
19260726,0.005304,0.001363
19260727,0.004295,0.003055
19260728,0.010862,0.010771
19260729,0.003664,-0.003657
19260730,0.001424,0.001091
19260731,0.004655,0.004031
19260802,0.008362,0.007227
19260803,0.004673,0.003356
19260804,-0.003577,-0.000513
19260805,-0.000813,0.001886
19260806,0.006960,0.006335
19260807,0.004663,0.005135
19260809,0.002218,0.001342
19260810,-0.013932,-0.010122
19260811,-0.005478,0.000108
19260812,0.008540,0.002935
19260813,0.005784,0.000348
19260814,0.006816,0.005657
19260816,0.000951,0.004558
19260817,-0.009347,-0.006866
19260818,0.002750,0.002526
19260819,-0.005926,-0.004639
19260820,-0.001728,-0.001743
19260821,0.003406,0.004894
19260823,0.004871,0.002803
19260824,-0.008337,-0.006006
19260825,-0.003180,-0.004046
19260826,0.005514,0.005817
19260827,0.003370,0.003319
19260828,0.003460,0.004913
19260830,0.003094,0.003481
19260831,0.005925,0.003607
