DATE,vw,ew
19260701,0.39,0.72
19260702,-0.11,-0.15
19260706,-0.04,-0.15
19260707,-0.23,-0.52
19260708,-0.23,0.9
19260709,0.18,-0.17
19260710,0.23,0.27
19260712,0.14,-0.12
19260713,0.2,0.57
19260714,-0.26,-0.26
19260715,0.3,0.58
19260716,0.28,0.04
19260717,0.35,0.27
19260719,-0.23,0.1
19260720,-0.82,-1.04
19260721,-0.55,-0.16
19260722,-1.27,-0.94
19260723,0.04,0.24
19260724,0.57,0.7
19260726,-0.36,-0.29
19260727,0.39,-0.03
19260728,1.08,1.29
19260729,-0.41,-1.01
19260730,0.15,0.37
19260731,0.29,0.46
19260802,0.39,0.97
19260803,0.99,0.65
19260804,0.03,0.17
19260805,0.12,0.38
19260806,1.1,0.34
19260807,0.36,0.74
19260809,0.11,-0.12
19260810,-0.65,-0.58
19260811,0.02,1.06
19260812,0.16,-0.39
19260813,-0.39,-0.43
19260814,0.49,0.51
19260816,0.72,0.88
19260817,-0.53,-0.48
19260818,0.07,0.23
19260819,-0.3,-0.48
19260820,-0.61,0.09
19260821,0.32,0.51
19260823,0.46,0.37
19260824,-0.64,-0.54
19260825,-0.27,-0.31
19260826,0.45,0.6
19260827,-0.05,0.08
19260828,0.62,0.66
19260830,0.1,0.38
19260831,0.05,0.37
19260901,0.46,0.1
19260902,0.1,0.5
19260903,0.63,0.28
19260907,0.24,0.82
19260908,-0.61,-0.65
19260909,-0.1,0.1
19260910,-0.66,0.09
19260911,-0.22,-0.24
19260913,-0.59,-0.08
19260914,0.83,1.35
19260915,0.14,-0.2
19260916,-0.3,-1.06
19260917,-1.35,-0.78
19260918,0.31,0.38
19260920,-0.77,-0.81
19260921,-0.05,0.1
19260922,0.05,0.04
19260923,0.11,0.24
19260924,0.43,0.22
19260925,0.4,0.44
19260927,-0.19,-0.07
19260928,-0.14,-0.24
19260929,-0.41,-0.02
19260930,0.17,0.83
19261001,0.61,0.14
19261002,0.19,1.07
19261004,-1.34,-1.36
19261005,-0.73,-0.94
19261006,-1.32,-1.44
19261007,-0.53,0.06
19261008,0.58,0.77
19261009,-0.35,-0.22
